include,xmltv_id,raw_name,provider,confidence,score,matched_db_name,grab_site,grab_site_id
yes,DailyPostPHH.in@jiotv,Daily Post PHH,meowfy,auto,100.0,Daily Post PHH,jiotv.com,2916
yes,Dangal2.in@SD,DANGAL 2 [IN],sktech,auto,100.0,Dangal 2,dishtv.in,142772
yes,DangalTV.in@SD,DANGAL [IN],sktech,auto,100.0,Dangal TV,dishtv.in,142771
yes,Darshan24.in@jiotv,Darshan 24,meowfy,auto,100.0,Darshan 24,jiotv.com,611
yes,Darshan24.in@jiotv,DARSHAN 24 [IN],sktech,auto,100.0,Darshan 24,jiotv.com,611
review,DesiChannel.in@jiotv,SIKH CHANNEL [IN-UK],sktech,likely,83.3,Desi Channel,jiotv.com,906
yes,DesiMusicStation.in@jiotv,Desi Music Station,meowfy,auto,100.0,Desi Music Station,jiotv.com,2252
yes,Dhamaal.in@jiotv,DHAMAAL [IN],sktech,auto,100.0,Dhamaal,jiotv.com,2038
yes,DharmGranthTV.in@jiotv,Dharm Granth TV,meowfy,auto,100.0,Dharm Granth TV,jiotv.com,1549
yes,DharmSandesh.in@SD,Dharma Sandesh,meowfy,auto,96.3,Dharm Sandesh,airtelxstream.in,LIVETV_LIVETVCHANNEL_DHARM_SANDESH
yes,DhoomMusicBangla.in@jiotv,Dhoom Music Bangla,meowfy,auto,100.0,Dhoom Music Bangla,jiotv.com,3006
yes,Digishala.in@jiotv,Digishala,meowfy,auto,100.0,Digishala,jiotv.com,1227
yes,Discovery.in@jiotv,DISCOVERY FHD [BENGALI],sktech,auto,100.0,Discovery,jiotv.com,242
yes,Discovery.in@jiotv,DISCOVERY [IN],sktech,auto,100.0,Discovery,jiotv.com,242
review,DiscoveryKids.in@SD,Discovery Kids Hindi,meowfy,review,76.4,Discovery Kids,dishtv.in,159011
review,DiscoveryKids.in@SD,Discovery HD Hindi,meowfy,review,82.8,Discovery Kids,dishtv.in,159011
review,DiscoveryKids.in@SD,Discovery Hindi,meowfy,review,82.8,Discovery Kids,dishtv.in,159011
review,DiscoveryKids.in@SD,DISCOVERY WORLD [BENGALI],sktech,review,75.9,Discovery Kids,dishtv.in,159011
review,DiscoveryKids.in@SD,DISCOVERY WORLD FHD [IN],sktech,review,75.9,Discovery Kids,dishtv.in,159011
review,DiscoveryKids.in@SD,DISCOVERY KIDS HINDI [IN],sktech,review,76.4,Discovery Kids,dishtv.in,159011
review,DiscoveryScience.in@SD,Discovery Science Hindi,meowfy,review,79.0,Discovery Science,dishtv.in,159107
review,DiscoveryScience.in@SD,DISCOVERY JEET FHD [IN],sktech,review,77.4,Discovery Science,dishtv.in,159107
yes,DiscoveryScience.in@SD,DISCOVERY SCIENCE [IN],sktech,auto,100.0,Discovery Science,dishtv.in,159107
yes,DiscoveryTurbo.in@SD,Discovery Turbo,meowfy,auto,100.0,Discovery Turbo,dishtv.in,159108
yes,DisneyChannel.in@HD,Disney Channel,meowfy,auto,100.0,Disney Channel,dishtv.in,158843
review,DisneyChannel.in@HD,Desi Channel,meowfy,review,76.9,Disney Channel,dishtv.in,158843
yes,DisneyChannel.in@HD,DISNEY CHANNEL [IN],sktech,auto,100.0,Disney Channel,dishtv.in,158843
yes,DisneyInternationalHD.in@SD,Disney International HD,meowfy,auto,100.0,Disney International HD,dishtv.in,142989
yes,DisneyInternationalHD.in@SD,DISNEY SD [IN],sktech,auto,100.0,Disney International HD,dishtv.in,142989
yes,DisneyJunior.in@SD,Disney Junior,meowfy,auto,100.0,Disney Junior,dishtv.in,142990
yes,DisneyJunior.in@SD,DISNEY JUNIOR [IN],sktech,auto,100.0,Disney Junior,dishtv.in,142990
yes,DivyalokTV.in@jiotv,Divyalok TV,meowfy,auto,100.0,Divyalok TV,jiotv.com,2322
review,DivyavaniTV.in@SD,Divya Vani,meowfy,review,81.8,Divyavani TV,airtelxstream.in,LIVETV_LIVETVCHANNEL_DIVYAVANI_TV
review,DivyavaniTV.in@SD,Divya TV,meowfy,review,80.0,Divyavani TV,airtelxstream.in,LIVETV_LIVETVCHANNEL_DIVYAVANI_TV
review,DivyavaniTV.in@SD,DIVYA TV [IN],sktech,review,80.0,Divyavani TV,airtelxstream.in,LIVETV_LIVETVCHANNEL_DIVYAVANI_TV
yes,E24.in@SD,E24 [IN],sktech,auto,100.0,E 24,airtelxstream.in,LIVETV_LIVETVCHANNEL_E24
yes,ETNow.in@SD,ET Now,meowfy,auto,100.0,ET Now,dishtv.in,143021
yes,ETNow.in@SD,ET NOW [IN],sktech,auto,100.0,ET Now,dishtv.in,143021
yes,ETNowSwadesh.in@SD,ET Now Swadesh,meowfy,auto,100.0,ET Now Swadesh,dishtv.in,143022
yes,ETVAbhiruchi.in@SD,ETV Abhiruchi,meowfy,auto,100.0,ETV Abhiruchi,dishtv.in,143023
yes,ETVAndhraPradesh.in@SD,ETV Andhra pradesh,meowfy,auto,100.0,ETV Andhra Pradesh,dishtv.in,143024
yes,ETVCinema.in,ETV Cinema HD,meowfy,auto,100.0,ETV Cinema,dishtv.in,143026
review,ETVCinema.in,CINEMA TV [IN],sktech,review,75.8,ETV Cinema,dishtv.in,143026
yes,ETVCinema.in,ETV CINEMA [IN],sktech,auto,100.0,ETV Cinema,dishtv.in,143026
yes,ETVLife.in@SD,ETV Life,meowfy,auto,100.0,ETV Life,dishtv.in,143029
yes,ETVPlus.in,ETV Plus HD,meowfy,auto,100.0,ETV Plus,dishtv.in,143030
yes,ETVPlus.in,MTV PLUS FHD [IN],sktech,likely,87.5,ETV Plus,dishtv.in,143030
yes,ETVTelangana.in@SD,ETV Telangana,meowfy,auto,100.0,ETV Telangana,dishtv.in,143032
yes,ETVTelugu.in@HD,ETV HD,meowfy,auto,100.0,ETV Telugu,dishtv.in,143028
yes,ETVTelugu.in@HD,ETV [IN-UK],sktech,auto,100.0,ETV Telugu,dishtv.in,143028
yes,Enterr10.in@jiotv,ENTER 10 [BENGALI],sktech,auto,94.1,Enterr 10,jiotv.com,485
yes,Enterr10.in@jiotv,ENTERR 10 [IN],sktech,auto,100.0,Enterr 10,jiotv.com,485
review,EpicKids.in@SD,Gubbare,meowfy,review,80.0,Epic Kids,dishtv.in,159014
review,EpicMusic.in@SD,SHOWBOX [IN],sktech,review,80.0,Epic Music,dishtv.in,159097
yes,EpicTV.in@SD,EPIC TV,meowfy,auto,100.0,Epic TV,dishtv.in,159013
yes,EpicTV.in@SD,EPIC HD [IN],sktech,auto,100.0,Epic TV,dishtv.in,159013
yes,Eurosport.in@SD,Eurosport HD,meowfy,auto,100.0,Eurosport,dishtv.in,157802
yes,Eurosport.in@SD,Eurosport,meowfy,auto,100.0,Eurosport,dishtv.in,157802
yes,FMNews.in@SD,FM News,meowfy,auto,100.0,FM News,airtelxstream.in,LIVETV_LIVETVCHANNEL_FM_NEWS
yes,FTVHD.in@jiotv,FTV HD,meowfy,auto,100.0,FTV HD,jiotv.com,1598
yes,FashionIndia.in@jiotv,Fashion India,meowfy,auto,100.0,Fashion India,jiotv.com,2031
yes,FatehTV.in@SD,Fateh TV,meowfy,auto,100.0,Fateh TV,tataplay.com,791
review,FirstIndiaNews.in@SD,ATV India News,meowfy,review,80.0,First India News,tataplay.com,650
yes,FirstIndiaNews.in@SD,First India News,meowfy,auto,100.0,First India News,tataplay.com,650
yes,Firstpost.in@jiotv,Firstpost,meowfy,auto,100.0,Firstpost,jiotv.com,2326
yes,FlowersTV.in@SD,Flower TV,meowfy,auto,94.7,Flowers TV,dishtv.in,143065
yes,FoodFood.in@SD,Food Food,meowfy,auto,100.0,Food Food,tataplay.com,117
yes,FoodFood.in@SD,FOOD FOOD HD [IN],sktech,auto,100.0,Food Food,tataplay.com,117
yes,Foodxp.uk@SD,Foodxp,meowfy,auto,100.0,Foodxp,tataplay.com,1030
yes,Foodxp.uk@SD,FOODXP [IN-UK],sktech,auto,100.0,Foodxp,tataplay.com,1030
yes,France24.fr@English,France 24,meowfy,auto,100.0,France 24,dishtv.in,159111
yes,GSTV.in@jiotv,GS TV,meowfy,auto,100.0,GS TV,jiotv.com,643
review,GTCPunjabi.in@SD,Ghaint Punjab,meowfy,review,75.0,GTC Punjabi,dishtv.in,202704
review,Gangaur.in@jiotv,GANGA [IN],sktech,likely,83.3,Gangaur,jiotv.com,2077
yes,GarviGujarat.in@jiotv,Garvi Gujarat,meowfy,auto,100.0,Garvi Gujarat,jiotv.com,3039
yes,GlobalIndia.in@jiotv,Global India,meowfy,auto,100.0,Global India,jiotv.com,1959
review,GlobalPunjab.in@jiotv,GLOBAL PUNJAB TV [IN],sktech,likely,83.7,Global Punjab,jiotv.com,2019
yes,Goldmines.in@SD,GOLDMINES [IN],sktech,auto,100.0,Goldmines,dishtv.in,143087
yes,GoodNewsChannel.in@jiotv,GoodNews Channel,meowfy,auto,100.0,GoodNews Channel,jiotv.com,907
yes,GoodNewsToday.in@SD,Good News Today,meowfy,auto,100.0,Good News Today,dishtv.in,143090
yes,GoodnessTV.in@SD,Goodness,meowfy,auto,100.0,Goodness TV,dishtv.in,143091
yes,GraceTV.in@jiotv,Grace TV,meowfy,auto,100.0,Grace TV,jiotv.com,2775
yes,GreenChillies.in@jiotv,Green Chillies,meowfy,auto,100.0,Green Chillies,jiotv.com,1834
yes,Gujarat1st24x7.in@jiotv,Gujarat 1st 24x7,meowfy,auto,100.0,Gujarat 1st 24x7,jiotv.com,1974
yes,GulistanNews.in@SD,Gulistan News,meowfy,auto,100.0,Gulistan News,dishtv.in,143097
yes,Gurkibani.in@jiotv,Gurkibani,meowfy,auto,100.0,Gurkibani,jiotv.com,1458
yes,GustoTV.in@jiotv,Gusto TV,meowfy,auto,100.0,Gusto TV,jiotv.com,3213
review,Gyandarshan.in@SD,DD Gyandarshan,meowfy,review,82.0,Gyandarshan,dishtv.in,143100
yes,HMTV.in@SD,HM TV,meowfy,auto,100.0,HMTV,dishtv.in,143136
review,HMTV.in@SD,OM TV,meowfy,review,80.0,HMTV,dishtv.in,143136
yes,HNN24x7.in@SD,HNN 24x7,meowfy,auto,100.0,HNN 24x7,airtelxstream.in,LIVETV_LIVETVCHANNEL_HNN
yes,HarKhabar.in@SD,Har Khabar,meowfy,auto,100.0,Har Khabar,airtelxstream.in,LIVETV_LIVETVCHANNEL_HARKHABAR
yes,HareKrsnaPravachan.in@jiotv,Hare Krsna Pravachan,meowfy,auto,100.0,Hare Krsna Pravachan,jiotv.com,1212
yes,HareKrsnaTV.in@SD,Hare krsna,meowfy,auto,100.0,Hare Krsna TV,dishtv.in,143102
review,HareKrsnaTV.in@SD,Hare Krsna Music,meowfy,review,75.9,Hare Krsna TV,dishtv.in,143102
yes,HareKrsnaTV.in@SD,HARE KRISHNA HD [IN],sktech,auto,90.9,Hare Krsna TV,dishtv.in,143102
review,HarvestTV.in@SD,Harvest TV 24x7,meowfy,review,78.0,Harvest TV,airtelxstream.in,LIVETV_LIVETVCHANNEL_HARVEST_TV_24X7
yes,HaryanaBeats.in@jiotv,HARYANVI BEATS [IN],sktech,likely,88.9,Haryana Beats,jiotv.com,1694
yes,HiDost.in@jiotv,Hi Dost!,meowfy,auto,100.0,Hi Dost!,jiotv.com,1232
yes,HindiKhabar.in@SD,Hindi Khabar,meowfy,auto,100.0,Hindi Khabar,airtelxstream.in,LIVETV_LIVETVCHANNEL_HINDI_KHABAR
yes,HindiKhabar.in@SD,HINDI KHABAR [IN],sktech,auto,100.0,Hindi Khabar,airtelxstream.in,LIVETV_LIVETVCHANNEL_HINDI_KHABAR
yes,HinduDharmam.in@SD,Hindu Dharmam,meowfy,auto,100.0,Hindu Dharmam,dishtv.in,143131
yes,HistoryTV18.in@SD,History TV18 HD,meowfy,auto,100.0,History TV18,dishtv.in,143132
yes,HistoryTV18.in@SD,History TV18,meowfy,auto,100.0,History TV18,dishtv.in,143132
review,HistoryTV18.in@SD,HISTORY TV 18 FHD [IN],sktech,review,83.6,History TV18,dishtv.in,143132
review,HistoryTV18.in@SD,HISTORY TV 18 HD [IN],sktech,review,83.6,History TV18,dishtv.in,143132
yes,HistoryTV18HDHindi.in@jiotv,History TV18 HD Hindi,meowfy,auto,100.0,History TV18 HD Hindi,jiotv.com,578
yes,HornbillTV.in@SD,Hornbill TV,meowfy,auto,100.0,Hornbill TV,airtelxstream.in,LIVETV_LIVETVCHANNEL_HORNBILL
yes,HungamaTV.in@SD,Hungama,meowfy,auto,100.0,Hungama TV,dishtv.in,143150
yes,IBC24.in@SD,IBC24,meowfy,auto,100.0,IBC 24,dishtv.in,143156
yes,IBC24.in@SD,IBC 24 [IN],sktech,auto,100.0,IBC 24,dishtv.in,143156
review,INH24x7.in@SD,India 24x7,meowfy,review,77.8,INH 24x7,airtelxstream.in,LIVETV_LIVETVCHANNEL_INH_24X7
yes,INH24x7.in@SD,INH 24x7,meowfy,auto,100.0,INH 24x7,airtelxstream.in,LIVETV_LIVETVCHANNEL_INH_24X7
yes,INH24x7.in@SD,INH 24X7 [IN],sktech,auto,100.0,INH 24x7,airtelxstream.in,LIVETV_LIVETVCHANNEL_INH_24X7
yes,ISKCONBangalore.in@jiotv,ISKCON Bangalore,meowfy,auto,100.0,ISKCON Bangalore,jiotv.com,2784
yes,Ind24.in@SD,IND 24,meowfy,auto,100.0,Ind 24,airtelxstream.in,LIVETV_LIVETVCHANNEL_IND24
yes,Ind24.in@SD,ND 24,meowfy,auto,90.9,Ind 24,airtelxstream.in,LIVETV_LIVETVCHANNEL_IND24
yes,Ind24.in@SD,IND 24 [IN],sktech,auto,100.0,Ind 24,airtelxstream.in,LIVETV_LIVETVCHANNEL_IND24
yes,India24x7AapTakTV.in@jiotv,India 24x7 Aap Tak TV,meowfy,auto,100.0,India 24x7 Aap Tak TV,jiotv.com,3172
yes,IndiaNews.in@SD,INDIA NEWS [IN],sktech,auto,100.0,India News,tataplay.com,183
yes,IndiaNewsGujarati.in@SD,India News Gujarat,meowfy,auto,100.0,India News Gujarati,tataplay.com,654
yes,IndiaNewsHaryana.in@SD,India News Haryana,meowfy,auto,100.0,India News Haryana,dishtv.in,143192
yes,IndiaNewsHaryana.in@SD,INDIA NEWS HARYANA [IN],sktech,auto,100.0,India News Haryana,dishtv.in,143192
yes,IndiaNewsPunjabHimachal.in@SD,India News Punjab,meowfy,auto,100.0,India News Punjab/Himachal,tataplay.com,366
yes,IndiaNewsRajasthan.in@SD,India News Rajasthan,meowfy,auto,100.0,India News Rajasthan,tataplay.com,14
yes,IndiaNewsRajasthan.in@SD,INDIA NEWS RAJASTHAN [IN],sktech,auto,100.0,India News Rajasthan,tataplay.com,14
yes,IndiaNewsUttarPradesh.in@SD,India News MP,meowfy,likely,86.2,India News Uttar Pradesh,tataplay.com,30
yes,IndiaNewsUttarPradesh.in@SD,India News UP,meowfy,auto,100.0,India News Uttar Pradesh,tataplay.com,30
yes,IndiaNewsUttarPradesh.in@SD,INDIA NEWS UP [IN-UK],sktech,auto,100.0,India News Uttar Pradesh,tataplay.com,30
yes,IndiaNewsUttarPradesh.in@SD,INDIA NEWS MP [IN],sktech,likely,86.2,India News Uttar Pradesh,tataplay.com,30
yes,IndiaNewsUttarPradesh.in@SD,INDIA NEWS UP [IN],sktech,auto,100.0,India News Uttar Pradesh,tataplay.com,30
yes,IndiaTV.in@SD,India TV,meowfy,auto,100.0,India TV,dishtv.in,143199
yes,IndiaTV.in@SD,INDIA TV [IN],sktech,auto,100.0,India TV,dishtv.in,143199
yes,IndiaTVAapKiAdalat.in@jiotv,India TV Aap Ki Adalat,meowfy,auto,100.0,India TV Aap Ki Adalat,jiotv.com,3025
yes,IndiaTVSpeedNews.in@HD,India TV Speed News,meowfy,auto,100.0,India TV Speed News,airtelxstream.in,LIVETV_LIVETVCHANNEL_INDIA_TV_SPEED_NEWS
yes,IndiaTVYogaChannel.in@jiotv,India TV Yoga Channel,meowfy,auto,100.0,India TV Yoga Channel,jiotv.com,3024
yes,IndiaToday.in@SD,India Today,meowfy,auto,100.0,India Today,dishtv.in,143197
review,IndiaVoice.in@SD,India Science,meowfy,review,75.0,India Voice,tataplay.com,685
yes,IndiaVoice.in@SD,INDIA VOICE [IN],sktech,auto,100.0,India Voice,tataplay.com,685
yes,Insync.in@jiotv,Insync,meowfy,auto,100.0,Insync,jiotv.com,1286
review,InvestigationDiscovery.in@SD,Investigation Discovery HD Hindi,meowfy,review,82.5,Investigation Discovery,dishtv.in,157811
review,InvestigationDiscovery.in@SD,Investigation Discovery Hindi,meowfy,review,82.5,Investigation Discovery,dishtv.in,157811
yes,InvestigationDiscovery.in@SD,INVESTIGATION DISCOVERY [IN],sktech,auto,100.0,Investigation Discovery,dishtv.in,157811
yes,IshwarBhaktiTV.in@SD,Ishwar TV,meowfy,auto,100.0,Ishwar Bhakti TV,dishtv.in,143213
review,IshwarBhaktiTV.in@SD,Sidharth Bhakti,meowfy,review,78.6,Ishwar Bhakti TV,dishtv.in,143213
yes,IshwarBhaktiTV.in@SD,ISHWAR TV HD [IN],sktech,auto,100.0,Ishwar Bhakti TV,dishtv.in,143213
yes,IshwarVaniTv.in@jiotv,Ishwar Vani Tv,meowfy,auto,100.0,Ishwar Vani Tv,jiotv.com,3178
yes,JK24x7News.in@SD,JK 24x7 News,meowfy,auto,100.0,JK 24x7 News,dishtv.in,143237
review,JK24x7News.in@SD,Khabar 24x7 News,meowfy,review,78.6,JK 24x7 News,dishtv.in,143237
yes,JMovie.in@SD,J Movies,meowfy,auto,100.0,J Movie,dishtv.in,143215
yes,JUSOne.in@jiotv,JUS One HD,meowfy,likely,86.3,JUSOne,jiotv.com,961
yes,JaihindTV.in@SD,Jaihind tv,meowfy,auto,100.0,Jaihind TV,dishtv.in,143217
yes,JaihindTV.in@SD,JAIHIND TV [IN],sktech,auto,100.0,Jaihind TV,dishtv.in,143217
yes,JalshaMovies.in@SD,Jalsha Movies HD,meowfy,auto,100.0,Jalsha Movies,dishtv.in,143218
yes,JalshaMovies.in@SD,Jalsha Movies,meowfy,auto,100.0,Jalsha Movies,dishtv.in,143218
yes,JanTV.in@SD,Jan TV,meowfy,auto,100.0,Jan TV,airtelxstream.in,LIVETV_LIVETVCHANNEL_JAN_TV
yes,JanamTV.in@SD,Janam TV,meowfy,auto,100.0,Janam TV,dishtv.in,143221
yes,JantaTV.in@SD,Janta TV,meowfy,auto,100.0,Janta TV,airtelxstream.in,LIVETV_LIVETVCHANNEL_JANTA_TV
yes,JantaTV.in@SD,JANTA TV [IN],sktech,auto,100.0,Janta TV,airtelxstream.in,LIVETV_LIVETVCHANNEL_JANTA_TV
review,JantantraTV.in@SD,Jantantra,meowfy,review,79.7,Jantantra TV,tataplay.com,701
yes,JayJagannath.in@jiotv,Jay Jagannath,meowfy,auto,100.0,Jay Jagannath,jiotv.com,3115
yes,JayaMax.in@SD,Jaya Max,meowfy,auto,100.0,Jaya Max,dishtv.in,143226
yes,JayaMax.in@SD,JAYA MAX [IN-UK],sktech,auto,100.0,Jaya Max,dishtv.in,143226
yes,JayaPlus.in@SD,Jaya Plus,meowfy,auto,100.0,Jaya Plus,dishtv.in,143227
yes,JayaTV.in@HD,Jaya TV HD,meowfy,auto,100.0,Jaya TV,dishtv.in,143228
yes,JayaTV.in@HD,JAYA TV [IN],sktech,auto,100.0,Jaya TV,dishtv.in,143228
yes,JeevanTV.in@SD,Jeevan TV,meowfy,auto,100.0,Jeevan TV,tataplay.com,372
yes,JeevanTV.in@SD,JEEVAN TV [IN],sktech,auto,100.0,Jeevan TV,tataplay.com,372
yes,JeewanBhakti.in@jiotv,Jeewan Bhakti,meowfy,auto,100.0,Jeewan Bhakti,jiotv.com,2947
review,JinvaniChannel.in@SD,Jinvani TV,meowfy,review,76.4,Jinvani Channel,dishtv.in,143230
yes,JioEventsHD.in@jiotv,Jio Events HD,meowfy,auto,100.0,Jio Events HD,jiotv.com,871
yes,JioExclusiveHD.in@jiotv,Jio Exclusive HD,meowfy,auto,100.0,Jio Exclusive HD,jiotv.com,866
yes,JioExclusiveHD.in@jiotv,JIO EXCLUSIVE FHD [IN],sktech,auto,100.0,Jio Exclusive HD,jiotv.com,866
yes,JioGamesHD.in@jiotv,JioGames HD,meowfy,auto,100.0,JioGames HD,jiotv.com,1163
yes,JioSpecialsHD.in@jiotv,Jio Specials HD,meowfy,auto,100.0,Jio Specials HD,jiotv.com,2230
yes,Jonack.in@SD,Jonack,meowfy,auto,100.0,Jonack,dishtv.in,143238
yes,JothiTV.in@SD,Jothi TV,meowfy,auto,100.0,Jothi TV,dishtv.in,143239
yes,KCM.in@jiotv,KCM,meowfy,auto,100.0,KCM,jiotv.com,2854
yes,KITEVICTERS.in@jiotv,KITE VICTERS,meowfy,auto,100.0,KITE VICTERS,jiotv.com,1429
review,KNewsIndia.in@SD,ABP News India,meowfy,review,81.5,K News India,dishtv.in,143244
review,KNewsIndia.in@SD,Apex News India,meowfy,review,78.5,K News India,dishtv.in,143244
yes,KNewsIndia.in@SD,K News India,meowfy,auto,100.0,K News India,dishtv.in,143244
yes,KNewsIndia.in@SD,KNEWS INDIA [IN],sktech,likely,89.7,K News India,dishtv.in,143244
yes,KTV.in@SD,KTV FHD [IN],sktech,auto,100.0,KTV,dishtv.in,143274
yes,KTV.in@SD,KTV [IN-UK],sktech,auto,100.0,KTV,dishtv.in,143274
yes,KairaliNews.in@SD,Kairali News,meowfy,auto,100.0,Kairali News,dishtv.in,143246
yes,KairaliTV.in@SD,Kairali TV,meowfy,auto,100.0,Kairali TV,dishtv.in,143247
review,KairaliTV.in@SD,Kairali WE TV,meowfy,review,81.0,Kairali TV,dishtv.in,143247
yes,KairaliTV.in@SD,KAIRALI TV [IN],sktech,auto,100.0,Kairali TV,dishtv.in,143247
yes,KairaliWe.in@SD,WE TV [IN],sktech,auto,100.0,Kairali We,dishtv.in,143248
yes,KalaignarSeithigal.in@SD,Kalaignar Seithigal,meowfy,auto,100.0,Kalaignar Seithigal,dishtv.in,143769
yes,KalaignarTV.in@SD,Kalaignar TV,meowfy,auto,100.0,Kalaignar TV,dishtv.in,143249
yes,KalaignarTV.in@SD,KALAIGNAR TV [IN],sktech,auto,100.0,Kalaignar TV,dishtv.in,143249
yes,KalingaTV.in@SD,Kalinga TV,meowfy,auto,100.0,Kalinga TV,dishtv.in,143250
yes,KanakNews.in@SD,Kanak News,meowfy,auto,100.0,Kanak News,dishtv.in,143252
yes,KappaTV.in@SD,Kappa TV,meowfy,auto,100.0,Kappa TV,tataplay.com,377
review,KappaTV.in@SD,Kripa TV,meowfy,review,75.0,Kappa TV,tataplay.com,377
yes,KashishNews.in@SD,Kashish News,meowfy,auto,100.0,Kashish News,tataplay.com,838
yes,KaumudyTV.in@SD,Kaumudy TV,meowfy,auto,100.0,Kaumudy TV,dishtv.in,143259
yes,Khabar70.in@jiotv,Khabar 70,meowfy,auto,100.0,Khabar 70,jiotv.com,3171
yes,KhabarFast.in@SD,Khabar Fast,meowfy,auto,100.0,Khabar Fast,airtelxstream.in,LIVETV_LIVETVCHANNEL_KHABAR_FAST
yes,KolkataTV.in@SD,Kolkata TV,meowfy,auto,100.0,Kolkata TV,dishtv.in,143271
yes,KrishnaVani.in@jiotv,KRISHNA VANI HD [IN],sktech,auto,100.0,Krishna Vani,jiotv.com,1440
review,KushiTV.in@SD,KANSHI TV [IN-UK],sktech,review,82.4,Kushi TV,dishtv.in,143275
yes,LancsTVHD.in@jiotv,Lancs TV HD,meowfy,auto,100.0,Lancs TV HD,jiotv.com,3011
yes,LiveTimes.in@jiotv,Live Times,meowfy,auto,100.0,Live Times,jiotv.com,3166
yes,LokmanchMarathi.in@jiotv,Lok manch Marathi,meowfy,auto,100.0,Lok manch Marathi,jiotv.com,3167
yes,LokshahiNews.in@SD,Lokshahi News,meowfy,auto,100.0,Lokshahi News,dishtv.in,143284
yes,MBC.in@jiotv,MBC,meowfy,auto,100.0,MBC,jiotv.com,631
yes,MBCTV.in@SD,SMBC TV,meowfy,auto,92.3,MBC TV,dishtv.in,135691
yes,MKSix.in@jiotv,MK Six,meowfy,auto,100.0,MK Six,jiotv.com,1647
yes,MNX.in@SD,MNX FHD [IN],sktech,auto,100.0,MNX,dishtv.in,143549
yes,MNadu.in@jiotv,M Nadu,meowfy,auto,100.0,M Nadu,jiotv.com,2434
yes,MTV.in@SD,MTV HD,meowfy,auto,100.0,MTV,dishtv.in,143558
yes,MTV.in@SD,MTV,meowfy,auto,100.0,MTV,dishtv.in,143558
yes,MTV.in@SD,MTV HD [IN],sktech,auto,100.0,MTV,dishtv.in,143558
yes,MTV.in@SD,MTV FHD [IN],sktech,auto,100.0,MTV,dishtv.in,143558
yes,MTVBeatsHD.in@jiotv,MTV BEATS FHD [IN],sktech,auto,100.0,MTV Beats HD,jiotv.com,753
yes,MTVBeatsHD.in@jiotv,MTV BEATS HD [IN],sktech,auto,100.0,MTV Beats HD,jiotv.com,753
review,MTVHDPlus.in@jiotv,MN PLUS FHD [IN],sktech,likely,80.0,MTV HD Plus,jiotv.com,1145
yes,MadhaTV.in@SD,Madha TV,meowfy,auto,100.0,Madha TV,dishtv.in,143287
review,MadhaTV.in@SD,Madhimugam TV,meowfy,review,76.2,Madha TV,dishtv.in,143287
yes,MakkalTV.in@SD,Makkal TV,meowfy,auto,100.0,Makkal TV,dishtv.in,143296
yes,MakkalTV.in@SD,MAKKAL TV [IN],sktech,auto,100.0,Makkal TV,dishtv.in,143296
yes,MalyalamNaaptol.in@jiotv,Malyalam Naaptol,meowfy,auto,100.0,Malyalam Naaptol,jiotv.com,3174
yes,ManavDharam.in@jiotv,Manav Dharam,meowfy,auto,100.0,Manav Dharam,jiotv.com,1607
review,ManoramaNews.in@SD,Mahaa News,meowfy,review,78.3,Manorama News,dishtv.in,159016
yes,ManoramaNews.in@SD,Manorama News,meowfy,auto,100.0,Manorama News,dishtv.in,159016
review,ManoramaNews.in@SD,Mantavya News,meowfy,review,76.9,Manorama News,dishtv.in,159016
yes,ManoranjanGrand.in@SD,MANORANJAN GRAND [IN],sktech,auto,100.0,Manoranjan Grand,dishtv.in,143302
review,ManoranjanTV.in@SD,MANORANJAN [IN],sktech,review,81.0,Manoranjan TV,dishtv.in,143304
yes,Mastiii.in@jiotv,MASTII [IN],sktech,auto,92.3,Mastiii,jiotv.com,584
yes,MathrubhumiNews.in@SD,Mathrubhumi News,meowfy,auto,100.0,Mathrubhumi News,dishtv.in,143309
yes,MazhavilManorama.in@SD,Mazhavil Manorama,meowfy,auto,100.0,Mazhavil Manorama,dishtv.in,143310
yes,Media9.in@jiotv,Media9,meowfy,auto,100.0,Media9,jiotv.com,2254
review,MediaOne.in@SD,Media One TV,meowfy,review,79.7,Media One,dishtv.in,143345
yes,MerchantRecords.in@jiotv,Merchant Records,meowfy,auto,100.0,Merchant Records,jiotv.com,2064
yes,MercyTV.in@jiotv,Mercy TV,meowfy,auto,100.0,Mercy TV,jiotv.com,924
yes,Mh1Music.in@SD,mh1 (Music),meowfy,auto,100.0,Mh 1 Music,dishtv.in,143539
review,Mh1News.in@SD,Mh One News,meowfy,review,78.0,Mh 1 News,dishtv.in,143540
yes,Mh1News.in@SD,MH1 NEWS [IN],sktech,auto,100.0,Mh 1 News,dishtv.in,143540
yes,MirrorNow.in@SD,Mirror Now,meowfy,auto,100.0,Mirror Now,dishtv.in,143543
yes,MirrorNow.in@SD,MIRROR NOW [IN],sktech,auto,100.0,Mirror Now,dishtv.in,143543
yes,MoonTV.in@jiotv,Moon TV,meowfy,auto,100.0,Moon TV,jiotv.com,1518
yes,MoviesNowPlus.in@SD,MOVIES NOW FHD [IN],sktech,auto,100.0,Movies Now +,dishtv.in,143548
yes,MusicIndia.in@SD,Music India,meowfy,auto,100.0,Music India,dishtv.in,143563
yes,MusicIndia.in@SD,MUSIC INDIA [IN],sktech,auto,100.0,Music India,dishtv.in,143563
