include,xmltv_id,raw_name,provider,confidence,score,matched_db_name,grab_site,grab_site_id
yes,Andpictures.in@SD,And Pictures HD,meowfy,auto,100.0,&pictures,dishtv.in,142637
yes,Andpictures.in@SD,And Pictures,meowfy,auto,100.0,&pictures,dishtv.in,142637
yes,Andpictures.in@SD,AND PICTURES FHD [IN],sktech,auto,100.0,&pictures,dishtv.in,142637
yes,AndxplorHD.in@HD,And Xplor HD,meowfy,auto,100.0,&xplor HD,airtelxstream.in,LIVETV_LIVETVCHANNEL_SYMANDXPLOR_HD
yes,AndxplorHD.in@HD,AND EXPLORER FHD [IN],sktech,likely,85.7,&xplor HD,airtelxstream.in,LIVETV_LIVETVCHANNEL_SYMANDXPLOR_HD
yes,AngelTV.gh@SD,Angel TV HD,meowfy,auto,100.0,Angel TV,tataplay.com,282
review,AnimalPlanet.in@SD,Animal Planet HD Hindi,meowfy,review,75.2,Animal Planet,dishtv.in,157574
review,AnimalPlanet.in@SD,Animal Planet Hindi,meowfy,review,75.2,Animal Planet,dishtv.in,157574
yes,AnimalPlanet.in@SD,ANIMAL PLANET HD [IN],sktech,auto,100.0,Animal Planet,dishtv.in,157574
yes,AnimalPlanet.in@SD,ANIMAL PLANET FHD [IN],sktech,auto,100.0,Animal Planet,dishtv.in,157574
yes,Animax.in@jiotv,Animax,meowfy,auto,100.0,Animax,jiotv.com,2258
yes,AnjanTV.in@SD,Anjan TV,meowfy,auto,100.0,Anjan TV,tataplay.com,180
review,AnjanTV.in@SD,MANJARI TV [BENGALI],sktech,review,77.8,Anjan TV,tataplay.com,180
review,AnmolCinema2.in@SD,Zee Anmol Cinema 2,meowfy,review,81.5,Anmol Cinema 2,dishtv.in,144449
yes,AnmolTV.in@SD,Anmol TV,meowfy,auto,100.0,Anmol TV,dishtv.in,144435
review,AnmolTV.in@SD,NL TV,meowfy,review,76.9,Anmol TV,dishtv.in,144435
yes,AradanaTV.in@SD,Aradhana TV,meowfy,auto,95.2,Aradana TV,dishtv.in,142649
yes,ArgusNews.in@SD,Argus News,meowfy,auto,100.0,Argus News,dishtv.in,142650
yes,AryanTVNational.in@SD,Aryan TV National,meowfy,auto,100.0,Aryan TV National,airtelxstream.in,LIVETV_LIVETVCHANNEL_ARYAN_TV_NATIONAL
yes,Asianet.in@SD,Asianet HD,meowfy,auto,100.0,Asianet,dishtv.in,142668
yes,Asianet.in@SD,Asianet,meowfy,auto,100.0,Asianet,dishtv.in,142668
review,Asianet.in@SD,ASIANET TV FHD [IN],sktech,review,76.4,Asianet,dishtv.in,142668
yes,AsianetMovies.in@SD,Asianet Movies HD,meowfy,auto,100.0,Asianet Movies,dishtv.in,142677
yes,AsianetNews.in@SD,Asianet News,meowfy,auto,100.0,Asianet News,dishtv.in,142679
yes,AsianetNews.in@SD,Asian News,meowfy,auto,90.9,Asianet News,dishtv.in,142679
yes,AsianetPlus.in,Asianet Plus,meowfy,auto,100.0,Asianet Plus,dishtv.in,142680
yes,AsianetPlus.in,ASIANET PLUS [IN],sktech,auto,100.0,Asianet Plus,dishtv.in,142680
yes,AsianetSuvarnaNews.in@SD,Suvarna News,meowfy,auto,100.0,Asianet Suvarna News,dishtv.in,142682
yes,AssamTalks.in@SD,Assam Talks,meowfy,auto,100.0,Assam Talks,dishtv.in,142683
yes,AyushTV.in@SD,Ayush TV,meowfy,auto,100.0,Ayush TV,dishtv.in,142692
yes,B4UBhojpuri.in@SD,B4U Bhojpuri,meowfy,auto,100.0,B4U Bhojpuri,dishtv.in,142694
yes,B4UKadak.in@SD,B4U KADAK [IN],sktech,auto,100.0,B4U Kadak,dishtv.in,142695
yes,B4UMovies.in@India,B4U MOVIES USA [IN],sktech,auto,100.0,B4U Movies,dishtv.in,140063
